8305328,2017,2/16/17,1/19/17,2335,1/19/17 23:35,4,7,3801,0,LAKE MERCED BL,FONT BL,0,,Y,C,-,N,,,,,,,,,,Y,3,2,A,-,12,21453,A,N,D,C,A,B,H,-,C,A,,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4850299,37.72415995
8305222,2017,2/15/17,1/27/17,2335,1/27/17 23:35,5,7,3801,0,MADRID ST,EXCELSIOR AV,0,,Y,A,-,N,,,,,,,,,,N,4,5,A,-,16,24002,A,N,B,E,A,A,H,-,C,D,,A,8,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4304199,37.72471992
8313789,2017,3/6/17,1/23/17,2335,1/23/17 23:35,1,7,4313,0,HOSTETTER RD,MORRILL AV,0,,Y,C,-,N,,,,,,,,,,Y,2,2,D,-,0,,,N,C,A,A,B,H,-,C,B,,-,-,-,-,,,SANTA CLARA,SAN JOSE,-121.86443,37.40108997
8298909,2017,2/24/17,1/6/17,2333,1/6/17 23:33,5,5,4113,0,DAVIS ST,ROOSEVELT AV,30,S,N,C,-,N,,,,,,,,,,Y,3,3,A,-,1,23152,A,N,B,C,A,B,H,-,C,D,Y,A,1,-,-,37.4753,-122.22989,SAN MATEO,REDWOOD CITY,-122.2300261,37.47544238
6293033,2017,1/17/18,2/3/17,2333,2/3/17 23:33,5,7,4313,0,N 4TH ST,ROSEMARY ST,0,,-,B,C,N,,,,,,,,,,N,1,2,A,-,11,21954,A,F,G,B,E,B,H,-,C,A,,N,60,-,-,,,SANTA CLARA,SAN JOSE,-121.9051699,37.36153996
8305372,2017,5/31/17,1/6/17,2330,1/6/17 23:30,5,7,3801,0,GOLDEN GATE,POLK ST,0,,Y,A,-,N,,,,,,,,,,N,4,2,A,-,9,21801,A,N,D,C,A,B,H,-,C,A,,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4187999,37.78122994
8339189,2017,7/28/17,2/3/17,2330,2/3/17 23:30,5,6,103,0,PARKER ST,SAN PABLO,0,,Y,C,-,Y,ALA,4,123,-,-,2.45,I,5,N,N,4,2,A,-,10,21950,A,F,G,B,B,B,H,-,C,A,Y,-,,-,-,37.85936,-122.28899,ALAMEDA,BERKELEY,-122.2890035,37.85945753
90393682,2017,2/15/17,2/6/17,2330,2/6/17 23:30,1,7,109,0,SR-13 S/B,LA SALLE AVE,1850,N,N,B,-,Y,,,13,,,,,,S,Y,4,2,A,-,3,22350,,N,C,C,A,B,H,-,D,D,,A,8,-,-,37.83018,-122.21469,ALAMEDA,OAKLAND,-122.2146849,37.83018497
90517674,2017,8/7/17,1/29/17,2330,1/29/17 23:30,7,5,710,0,I-80 W/B TO CUTTING BOULEVARD,CUTTING BLVD,520,E,N,A,-,Y,,,80,,,,R,,W,Y,1,1,A,-,1,23152,A,N,E,I,A,A,H,-,C,D,Y,A,1,-,-,37.92672,-122.32235,CONTRA COSTA,RICHMOND,-122.32235,37.92672
90364311,2017,1/9/17,1/1/17,2330,1/1/17 23:30,7,5,701,0,SR-4 E/B,SR-160,550,W,N,A,-,Y,,,,,,,,,,Y,4,2,A,-,3,22350,,N,B,C,A,A,H,-,C,D,,A,7,-,-,,,CONTRA COSTA,ANTIOCH,-121.7678379,37.99247862
90384196,2017,2/2/17,1/30/17,2329,1/30/17 23:29,1,9,4100,0,I-280 S/B TO EDGEWOOD RD.,EDGEWOOD RD.,550,N,N,A,-,Y,,,280,,,,R,,S,Y,3,1,A,-,1,23152,E,N,F,A,A,A,H,-,D,D,,A,1,-,-,37.46866,-122.29428,SAN MATEO,UNINCORPORATED,-122.29428,37.46866
8195111,2017,1/24/17,1/13/17,2328,1/13/17 23:28,5,7,4313,0,NANCY LN,NANCY LN 383,0,,N,-,-,N,,,,,,,,,,Y,3,3,A,-,0,23550,,N,A,E,A,A,H,-,C,D,Y,-,,-,-,,,SANTA CLARA,SAN JOSE,,
8305349,2017,2/16/17,1/8/17,2326,1/8/17 23:26,7,7,3801,0,TURK ST,LARKIN ST,49,W,N,C,-,N,,,,,,,,,,Y,4,2,A,-,1,23153,A,N,B,E,A,B,H,-,C,D,Y,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4175075,37.78235866
90382111,2017,1/31/17,1/25/17,2325,1/25/17 23:25,3,7,4313,0,I-880 N/B TO BASCOME AVE.,BASCOME AVE.,150,N,N,B,-,Y,,,,,,,,,,Y,4,1,A,-,3,22350,,N,E,J,A,A,H,-,D,D,Y,A,1,-,-,,,SANTA CLARA,SAN JOSE,-121.936001,37.334648
90374463,2017,1/23/17,1/15/17,2325,1/15/17 23:25,7,7,4313,0,US-101 N/B,OAKLAND ROAD,3400,S,N,A,-,Y,,,101,,,,,,N,Y,4,2,A,-,1,23152,A,N,C,C,A,A,H,-,D,D,Y,A,1,-,-,37.36184,-121.8799,SANTA CLARA,SAN JOSE,-121.8799065,37.3618024
8201145,2017,3/16/17,2/7/17,2324,2/7/17 23:24,2,7,3801,0,GOUGH ST,MCCOPPIN,25,N,N,B,C,N,,,,,,,,,,Y,3,2,A,-,7,21658,A,N,C,E,A,B,H,-,C,A,,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4203897,37.77182973
90368822,2017,1/13/17,1/1/17,2323,1/1/17 23:23,7,6,704,0,SR-4 E/B E/OF WILLOW PASS RD,WILLOW PASS RD,3778,E,N,A,-,Y,,,,,,,,,,Y,4,3,A,-,1,23152,A,N,C,C,A,A,H,-,D,D,Y,A,1,-,-,38.01946,-121.98542,CONTRA COSTA,CONCORD,,
90426310,2017,5/15/17,2/5/17,2321,2/5/17 23:21,7,7,4313,0,I-680 N/B,CAPITOL EXPRESSWAY,1050,S,N,B,C,Y,,,680,,,,,,N,Y,2,2,C,-,18,,,N,D,C,A,B,H,-,D,D,Y,-,-,-,-,37.35526,-121.8383,SANTA CLARA,SAN JOSE,-121.8383375,37.35524402
90411869,2017,3/14/17,2/5/17,2320,2/5/17 23:20,7,7,4313,0,I-680 N/B,CAPITOL EXPRESSWAY,1100,S,N,B,C,Y,,,680,,,,,,N,Y,3,1,A,-,1,23152,A,N,E,I,A,B,H,-,D,D,Y,A,1,-,-,37.35526,-121.8383,SANTA CLARA,SAN JOSE,-121.8383375,37.35524402
8324913,2017,4/3/17,1/30/17,2318,1/30/17 23:18,1,7,109,0,FOOTHILL BL,AUSTIN ST,46,E,N,A,-,N,,,,,,,,,,Y,3,2,A,-,1,23152,A,M,B,E,A,A,H,-,C,A,Y,A,1,-,-,,,ALAMEDA,OAKLAND,-122.2243654,37.78427008
8305171,2017,2/16/17,1/5/17,2315,1/5/17 23:15,4,7,3801,0,6TH ST,MISSION ST,84,N,N,A,-,N,,,,,,,,,,N,4,3,A,-,8,22107,,F,B,C,A,A,H,-,C,D,,A,7,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4088938,37.78114459
